school_name,10th,11th,12th,9th
Bailey High School,80.90718321226795,80.94564348521183,80.91245136186771,81.30315500685872
Cabrera High School,84.25321888412017,83.7883817427386,84.28795811518324,83.67613636363636
Figueroa High School,81.4089121887287,80.64033850493654,81.38486312399355,81.19859813084112
Ford High School,81.26271186440678,80.40364188163885,80.66233766233766,80.63265306122449
Griffin High School,83.70689655172414,84.28808864265928,84.01369863013699,83.36919315403424
Hernandez High School,80.6601466992665,81.39613970588235,80.85714285714286,80.86685962373372
Holden High School,83.32456140350877,83.81553398058253,84.6987951807229,83.67716535433071
Huang High School,81.51238591916558,81.41747572815534,80.3059829059829,81.29028436018957
Johnson High School,80.77343113284434,80.61602671118531,81.2275641025641,81.26071428571429
Pena High School,83.612,84.3359375,84.59116022099448,83.80727272727273
Rodriguez High School,80.6298076923077,80.86481113320079,80.3764258555133,80.99312714776632
Shelton High School,83.44196428571429,84.37378640776699,82.78167115902966,84.12264150943396
Thomas High School,84.2541567695962,83.58554216867469,83.83136094674556,83.72885032537961
Wilson High School,84.02145214521452,83.76460767946578,84.31767337807607,83.93977812995246
Wright High School,83.8127572016461,84.15632183908046,84.07317073170732,83.83333333333333
